"id_pointage","id_ventil_date"
"1773","4"
"1772","4"
"1790","4"
"1775","4"
"1774","4"
"4590","7"
"4589","7"
"4588","7"
"4595","7"
"4594","7"
"4593","7"
"4592","7"
"4591","7"
"5629","7"
"5628","7"
"5627","7"
"6537","7"
"6536","7"
"6535","7"
"6534","7"
"6533","7"
"8504","7"
"8503","7"
"8502","7"
"297","4"
"291","4"
"58","4"
"57","4"
"56","4"
"612","4"
"236","4"
"235","4"
"234","4"
"1768","4"
"1767","4"
"1785","4"
"1770","4"
"1769","4"
"625","4"
"624","4"
"1362","4"
"1902","4"
"48","4"
"26","4"
"25","4"
"336","4"
"335","4"
"329","4"
"190","4"
"189","4"
"1711","4"
"1710","4"
"1709","4"
"1593","4"
"1079","4"
"1971","4"
"268","4"
"797","4"
"796","4"
"794","4"
"791","4"
"790","4"
"789","4"
"778","4"
"1090","4"
"777","4"
"103","4"
"102","4"
"600","4"
"424","4"
"423","4"
"422","4"
"101","4"
"1799","4"
"1102","4"
"1101","4"
"1100","4"
"1801","4"
"1800","4"
"1864","4"
"645","4"
"125","4"
"124","4"
"123","4"
"122","4"
"599","4"
"426","4"
"425","4"
"100","4"
"1794","4"
"1111","4"
"1110","4"
"1109","4"
"807","4"
"1811","4"
"1810","4"
"136","4"
"432","4"
"431","4"
"260","4"
"259","4"
"1675","4"
"1674","4"
"1677","4"
"1676","4"
"449","4"
"531","4"
"530","4"
"469","4"
"83","4"
"82","4"
"81","4"
"1905","4"
"375","4"
"774","4"
"376","4"
"316","4"
"315","4"
"248","4"
"1719","4"
"1718","4"
"1705","4"
"1704","4"
"1703","4"
"788","4"
"787","4"
"186","4"
"185","4"
"16","4"
"14","4"
"1615","4"
"1611","4"
"2037","4"
"734","4"
"733","4"
"295","4"
"289","4"
"480","4"
"479","4"
"478","4"
"52","4"
"51","4"
"50","4"
"607","4"
"1758","4"
"1757","4"
"1783","4"
"1760","4"
"1759","4"
"618","4"
"617","4"
"8501","7"
"8500","7"
"4564","7"
"4563","7"
"4562","7"
"4569","7"
"4568","7"
"307","4"
"4567","7"
"4566","7"
"4565","7"
"5611","7"
"5610","7"
"1623","4"
"534","4"
"467","4"
"88","4"
"87","4"
"1906","4"
"377","4"
"775","4"
"378","4"
"320","4"
"319","4"
"250","4"
"5609","7"
"6517","7"
"6516","7"
"6515","7"
"6514","7"
"6513","7"
"8473","7"
"8472","7"
"8471","7"
"8470","7"
"8469","7"
"5660","7"
"5659","7"
"5658","7"
"6557","7"
"1054","4"
"1047","4"
"6556","7"
"6555","7"
"6554","7"
"6553","7"
"8546","7"
"8545","7"
"8544","7"
"8543","7"
"8542","7"
"7997","7"
"4933","7"
"4932","7"
"5229","7"
"5228","7"
"5227","7"
"5226","7"
"5225","7"
"1859","4"
"40","4"
"444","4"
"443","4"
"258","4"
"257","4"
"256","4"
"1687","4"
"1686","4"
"1689","4"
"1688","4"
"1329","4"
"445","4"
"349","4"
"348","4"
"347","4"
"748","4"
"747","4"
"746","4"
"745","4"
"282","4"
"4840","7"
"4839","7"
"4838","7"
"5022","7"
"1821","4"
"1662","4"
"5021","7"
"5020","7"
"1980","4"
"38","4"
"37","4"
"29","4"
