"id_ventil_prime","id_ventil_date","id_agent","date_debut_mois","id_ref_prime","quantite","etat","version","date_prime"
"765","4","9003785","2015-06-01T00:00:00.000","1","1440","7","1","2015-06-01T00:00:00.000"
"766","4","9003785","2015-06-01T00:00:00.000","4","480","7","1","2015-06-14T00:00:00.000"
"774","4","9003983","2015-06-01T00:00:00.000","1","1560","7","1","2015-06-04T00:00:00.000"
"775","4","9003983","2015-06-01T00:00:00.000","4","615","7","1","2015-06-07T00:00:00.000"
"776","4","9003983","2015-06-01T00:00:00.000","6","8","7","1","2015-06-04T00:00:00.000"
"780","4","9004986","2015-06-01T00:00:00.000","1","3180","7","1","2015-06-06T00:00:00.000"
"781","4","9004986","2015-06-01T00:00:00.000","4","480","7","1","2015-06-21T00:00:00.000"
"782","4","9004986","2015-06-01T00:00:00.000","6","9","7","1","2015-06-04T00:00:00.000"
"786","4","9004798","2015-06-01T00:00:00.000","1","3960","7","1","2015-06-03T00:00:00.000"
"787","4","9004798","2015-06-01T00:00:00.000","4","1515","7","1","2015-06-07T00:00:00.000"
"788","4","9004798","2015-06-01T00:00:00.000","6","12","7","1","2015-06-03T00:00:00.000"
"791","4","9004231","2015-06-01T00:00:00.000","1","2295","7","1","2015-06-07T00:00:00.000"
"792","4","9004231","2015-06-01T00:00:00.000","4","960","7","1","2015-06-07T00:00:00.000"
"793","4","9004231","2015-06-01T00:00:00.000","6","12","7","1","2015-06-07T00:00:00.000"
"798","4","9003377","2015-06-01T00:00:00.000","1","900","7","1","2015-06-03T00:00:00.000"
"799","4","9003377","2015-06-01T00:00:00.000","6","3","7","1","2015-06-03T00:00:00.000"
"800","4","9003714","2015-06-01T00:00:00.000","1","2880","7","1","2015-06-05T00:00:00.000"
"801","4","9003714","2015-06-01T00:00:00.000","4","480","7","1","2015-06-07T00:00:00.000"
"802","4","9003714","2015-06-01T00:00:00.000","6","9","7","1","2015-06-04T00:00:00.000"
"806","4","9005077","2015-06-01T00:00:00.000","1","2850","7","1","2015-06-19T00:00:00.000"
"807","4","9005077","2015-06-01T00:00:00.000","4","1230","7","1","2015-06-21T00:00:00.000"
"808","4","9005077","2015-06-01T00:00:00.000","6","9","7","1","2015-06-19T00:00:00.000"
"832","4","9003146","2015-06-01T00:00:00.000","1","2760","7","1","2015-06-05T00:00:00.000"
"833","4","9003146","2015-06-01T00:00:00.000","4","900","7","1","2015-06-07T00:00:00.000"
"834","4","9003146","2015-06-01T00:00:00.000","6","7","7","1","2015-06-04T00:00:00.000"
"850","4","9004996","2015-06-01T00:00:00.000","1","2970","7","1","2015-06-06T00:00:00.000"
"851","4","9004996","2015-06-01T00:00:00.000","4","1230","7","1","2015-06-14T00:00:00.000"
"852","4","9004996","2015-06-01T00:00:00.000","6","11","7","1","2015-06-06T00:00:00.000"
"863","4","9003506","2015-06-01T00:00:00.000","1","1920","7","1","2015-06-03T00:00:00.000"
"864","4","9003506","2015-06-01T00:00:00.000","4","960","7","1","2015-06-14T00:00:00.000"
"865","4","9003506","2015-06-01T00:00:00.000","6","9","7","1","2015-06-02T00:00:00.000"
"866","4","9005312","2015-06-01T00:00:00.000","1","3960","7","1","2015-06-01T00:00:00.000"
"867","4","9005312","2015-06-01T00:00:00.000","4","1440","7","1","2015-06-07T00:00:00.000"
"868","4","9005312","2015-06-01T00:00:00.000","6","10","7","1","2015-06-01T00:00:00.000"
"871","4","9003399","2015-06-01T00:00:00.000","1","960","7","1","2015-06-07T00:00:00.000"
"872","4","9003399","2015-06-01T00:00:00.000","4","960","7","1","2015-06-07T00:00:00.000"
"873","4","9003399","2015-06-01T00:00:00.000","6","7","7","1","2015-06-07T00:00:00.000"
"888","4","9004987","2015-06-01T00:00:00.000","1","3120","7","1","2015-06-04T00:00:00.000"
"889","4","9004987","2015-06-01T00:00:00.000","6","9","7","1","2015-06-04T00:00:00.000"
"1653","5","9003276","2015-06-01T00:00:00.000","26","10320","7","1","2015-06-30T00:00:00.000"
"1654","5","9003546","2015-06-01T00:00:00.000","26","10320","7","1","2015-06-30T00:00:00.000"
"1656","5","9003401","2015-06-01T00:00:00.000","26","9360","7","1","2015-06-19T00:00:00.000"
"890","4","9004987","2015-07-01T00:00:00.000","1","480","7","1","2015-07-01T00:00:00.000"
"894","4","9003975","2015-06-01T00:00:00.000","1","960","7","1","2015-06-06T00:00:00.000"
"895","4","9003975","2015-06-01T00:00:00.000","6","3","7","1","2015-06-06T00:00:00.000"
"905","4","9004936","2015-06-01T00:00:00.000","1","1920","7","1","2015-06-05T00:00:00.000"
"906","4","9004936","2015-06-01T00:00:00.000","4","480","7","1","2015-06-21T00:00:00.000"
"907","4","9004936","2015-06-01T00:00:00.000","6","7","7","1","2015-06-05T00:00:00.000"
"930","4","9003778","2015-06-01T00:00:00.000","1","1050","7","1","2015-06-13T00:00:00.000"
"931","4","9003778","2015-06-01T00:00:00.000","4","750","7","1","2015-06-21T00:00:00.000"
"932","4","9003778","2015-06-01T00:00:00.000","6","9","7","1","2015-06-13T00:00:00.000"
"937","4","9005313","2015-06-01T00:00:00.000","1","2400","7","1","2015-06-02T00:00:00.000"
"938","4","9005313","2015-06-01T00:00:00.000","4","1515","7","1","2015-06-07T00:00:00.000"
"939","4","9005313","2015-06-01T00:00:00.000","6","8","7","1","2015-06-01T00:00:00.000"
"942","4","9004379","2015-06-01T00:00:00.000","24","5610","7","1","2015-06-30T00:00:00.000"
"955","4","9005311","2015-06-01T00:00:00.000","1","3120","7","1","2015-06-05T00:00:00.000"
"956","4","9005311","2015-06-01T00:00:00.000","4","480","7","1","2015-06-07T00:00:00.000"
"957","4","9005311","2015-06-01T00:00:00.000","6","6","7","1","2015-06-04T00:00:00.000"
"970","4","9003368","2015-06-01T00:00:00.000","1","0","7","1","2015-06-24T00:00:00.000"
"971","4","9003368","2015-06-01T00:00:00.000","6","1","7","1","2015-06-24T00:00:00.000"
"974","4","9003973","2015-06-01T00:00:00.000","1","0","7","1","2015-06-24T00:00:00.000"
"975","4","9003973","2015-06-01T00:00:00.000","6","1","7","1","2015-06-24T00:00:00.000"
"976","4","9003973","2015-07-01T00:00:00.000","1","0","7","1","2015-07-01T00:00:00.000"
"812","4","9004377","2015-06-01T00:00:00.000","1","1905","7","1","2015-06-02T00:00:00.000"
"813","4","9004377","2015-06-01T00:00:00.000","6","5","7","1","2015-06-02T00:00:00.000"
"818","4","9004233","2015-06-01T00:00:00.000","1","2400","7","1","2015-06-06T00:00:00.000"
"819","4","9004233","2015-06-01T00:00:00.000","6","6","7","1","2015-06-05T00:00:00.000"
"826","4","9003372","2015-06-01T00:00:00.000","1","2400","7","1","2015-06-02T00:00:00.000"
"827","4","9003372","2015-06-01T00:00:00.000","4","555","7","1","2015-06-07T00:00:00.000"
"828","4","9003372","2015-06-01T00:00:00.000","6","10","7","1","2015-06-01T00:00:00.000"
"838","4","9004985","2015-06-01T00:00:00.000","1","2400","7","1","2015-06-02T00:00:00.000"
"839","4","9004985","2015-06-01T00:00:00.000","4","1035","7","1","2015-06-07T00:00:00.000"
"840","4","9004985","2015-06-01T00:00:00.000","6","11","7","1","2015-06-01T00:00:00.000"
"845","4","9003415","2015-06-01T00:00:00.000","1","3060","7","1","2015-06-07T00:00:00.000"
"846","4","9003415","2015-06-01T00:00:00.000","4","1365","7","1","2015-06-07T00:00:00.000"
"847","4","9003415","2015-06-01T00:00:00.000","6","19","7","1","2015-06-07T00:00:00.000"
"857","4","9003793","2015-06-01T00:00:00.000","1","2880","7","1","2015-06-07T00:00:00.000"
"858","4","9003793","2015-06-01T00:00:00.000","4","960","7","1","2015-06-07T00:00:00.000"
"859","4","9003793","2015-06-01T00:00:00.000","6","12","7","1","2015-06-07T00:00:00.000"
"878","4","9005309","2015-06-01T00:00:00.000","1","2760","7","1","2015-06-05T00:00:00.000"
"879","4","9005309","2015-06-01T00:00:00.000","6","6","7","1","2015-06-04T00:00:00.000"
"881","4","9005346","2015-06-01T00:00:00.000","1","0","7","1","2015-06-06T00:00:00.000"
"882","4","9005346","2015-06-01T00:00:00.000","6","12","7","1","2015-06-06T00:00:00.000"
"883","4","9005346","2015-07-01T00:00:00.000","1","0","7","1","2015-07-01T00:00:00.000"
"884","4","9005346","2015-07-01T00:00:00.000","6","1","7","1","2015-07-01T00:00:00.000"
"964","4","9004229","2015-06-01T00:00:00.000","1","1680","7","1","2015-06-02T00:00:00.000"
"965","4","9004229","2015-06-01T00:00:00.000","4","615","7","1","2015-06-07T00:00:00.000"
"966","4","9004229","2015-06-01T00:00:00.000","6","6","7","1","2015-06-02T00:00:00.000"
"982","4","9005310","2015-06-01T00:00:00.000","1","2400","7","1","2015-06-04T00:00:00.000"
"983","4","9005310","2015-06-01T00:00:00.000","4","480","7","1","2015-06-14T00:00:00.000"
"984","4","9005310","2015-06-01T00:00:00.000","6","9","7","1","2015-06-02T00:00:00.000"
"1759","6","9005317","2015-07-01T00:00:00.000","1","4320","7","1","2015-07-04T00:00:00.000"
"1760","6","9005317","2015-07-01T00:00:00.000","4","480","7","1","2015-07-26T00:00:00.000"
"1761","6","9005317","2015-07-01T00:00:00.000","6","9","7","1","2015-07-01T00:00:00.000"
"1765","6","9004986","2015-07-01T00:00:00.000","1","2730","7","1","2015-07-03T00:00:00.000"
"1766","6","9004986","2015-07-01T00:00:00.000","4","480","7","1","2015-07-26T00:00:00.000"
"1767","6","9004986","2015-07-01T00:00:00.000","6","8","7","1","2015-07-02T00:00:00.000"
"1771","6","9003781","2015-07-01T00:00:00.000","1","810","7","1","2015-07-11T00:00:00.000"
"1772","6","9003781","2015-07-01T00:00:00.000","4","420","7","1","2015-07-14T00:00:00.000"
"2317","7","9003240","2015-07-01T00:00:00.000","26","9780","7","1","2015-07-31T00:00:00.000"
"2318","7","9003401","2015-07-01T00:00:00.000","26","6060","7","1","2015-07-31T00:00:00.000"
"760","4","9005307","2015-06-01T00:00:00.000","1","1680","7","1","2015-06-18T00:00:00.000"
"761","4","9005307","2015-06-01T00:00:00.000","6","5","7","1","2015-06-18T00:00:00.000"
"762","4","9003397","2015-06-01T00:00:00.000","1","1920","7","1","2015-06-02T00:00:00.000"
"763","4","9003397","2015-06-01T00:00:00.000","4","480","7","1","2015-06-21T00:00:00.000"
"764","4","9003397","2015-06-01T00:00:00.000","6","7","7","1","2015-06-01T00:00:00.000"
"767","4","9003785","2015-06-01T00:00:00.000","6","5","7","1","2015-06-05T00:00:00.000"
"768","4","9004373","2015-06-01T00:00:00.000","1","2400","7","1","2015-06-06T00:00:00.000"
"769","4","9004373","2015-06-01T00:00:00.000","4","480","7","1","2015-06-14T00:00:00.000"
"770","4","9004373","2015-06-01T00:00:00.000","6","14","7","1","2015-06-06T00:00:00.000"
"771","4","9005317","2015-06-01T00:00:00.000","1","3240","7","1","2015-06-06T00:00:00.000"
